 Date , Overnight  (%) , 7-day (%)  , Overall (%)  
,,,
02-Jan-12,27.2,30.75,30.42
03-Jan-12,26.62,30.96,28.32
04-Jan-12,28.14,30.59,29.48
05-Jan-12,26.8,28.26,27.46
09-Jan-12,29,29.25,29.24
10-Jan-12,26,25.66,26.29
11-Jan-12,24.5,27.34,25.9
12-Jan-12,23.3,25.71,24.4
16-Jan-12,24.58,29,25.96
17-Jan-12,24.13,27,25.71
18-Jan-12,27.39,26.52,27.12
19-Jan-12,29.86,31.13,30.05
20-Jan-12,29.86,26.5,26.43
23-Jan-12,25.92,28.24,26.77
24-Jan-12,25.4,28.45,25.94
25-Jan-12,20.05,27.93,21.5
27-Jan-12,20.05,28.88,18.72
30-Jan-12,27,29.19,29.14
31-Jan-12,26.35,30.97,27.58
,,,
01-Feb-12,27.37,29.33,27.46
02-Feb-12,25.92,29.78,26.41
03-Feb-12,25.92,26.24,23.2
06-Feb-12,17.27,28.18,18.91
07-Feb-12,20.93,23.4,21.87
08-Feb-12,12.93,17.75,15.34
09-Feb-12,5.22,16.17,6.91
10-Feb-12,5.22,16.17,9.17
13-Feb-12,14.23,21.96,16.6
14-Feb-12,15.36,23.15,17.54
15-Feb-12,16.51,23.23,20.39
16-Feb-12,19.94,23.47,21.65
17-Feb-12,19.94,22.5,19.74
20-Feb-12,18.38,24.16,22.3
21-Feb-12,20.44,25.14,23.58
22-Feb-12,20.61,22.81,21.88
23-Feb-12,11.34,21.28,14.33
24-Feb-12,7.99,22.67,9.33
27-Feb-12,15.94,24.05,22.29
28-Feb-12,18.5,22.88,19.81
29-Feb-12,17.15,22.63,18.39
,,,
01-Mar-12,17.15,22.62,23.03
02-Mar-12,17.15,21.54,19.68
05-Mar-12,21.38,24,22.52
06-Mar-12,22.44,25.38,20.91
07-Mar-12,22.44,25.87,23.93
09-Mar-12,22.44,26.25,21.53
12-Mar-12,24.33,27.82,26.59
13-Mar-12,25.53,26.33,25.72
14-Mar-12,26.33,26.33,26.22
15-Mar-12,26.08,27,26.5
16-Mar-12,26.08,27.88,24.64
19-Mar-12,25.17,27.13,26.63
20-Mar-12,22.91,25.46,24.06
21-Mar-12,18.68,23.3,20.16
22-Mar-12,17.53,21.38,18.49
23-Mar-12,17.53,18,8.92
26-Mar-12,23.55,27,25.08
27-Mar-12,22.96,24.33,23.49
28-Mar-12,22.35,24.06,23.19
29-Mar-12,22.62,26.31,23.19
30-Mar-12,22.62,26.31,17.85
,,,
02-Apr-12,21.33,26.31,23.91
03-Apr-12,18,22.73,20.62
04-Apr-12,22.55,24.36,23.35
05-Apr-12,22.55,22.18,22.45
10-Apr-12,22.37,23.18,22.89
11-Apr-12,24.27,23.71,24.06
12-Apr-12,21.6,24,22.28
13-Apr-12,21.6,25,16.19
16-Apr-12,20.43,21.94,21.08
17-Apr-12,21.53,22.12,22.06
18-Apr-12,17.33,20,19.17
19-Apr-12,17.04,22.36,19.36
20-Apr-12,17.04,19.14,14.86
23-Apr-12,19.5,23.6,22.96
24-Apr-12,21.5,23.6,22.51
25-Apr-12,20.87,22.42,21.96
26-Apr-12,21.64,23,22.44
27-Apr-12,21.64,22.89,19.47
30-Apr-12,21.64,22.79,22.73
,,,
02-May-12,18.17,20.58,19.85
03-May-12,17,20.75,18.98
04-May-12,17,23.95,19.09
07-May-12,20.85,22.52,22.38
08-May-12,20,21.61,21.48
09-May-12,19,20.12,19.98
10-May-12,16,19.36,19.17
11-May-12,16,20,16.16
14-May-12,15.5,19.79,18.02
15-May-12,14.69,21.37,16.12
16-May-12,16.05,21.2,18.39
17-May-12,18.17,20.91,18.47
18-May-12,13.01,20.54,14.36
21-May-12,18.68,20.26,19.66
22-May-12,19.67,20.89,20.6
23-May-12,18.68,20.45,19.12
24-May-12,19.33,20.66,20.63
25-May-12,13.94,20.58,15.54
28-May-12,17.75,20.24,20.07
29-May-12,14.15,18.29,16.53
30-May-12,16.44,20.64,19.59
31-May-12,13.27,20.75,14.13
,,,
01-Jun-12,7.5,17.57,8.94
04-Jun-12,18.14,20.15,19.37
05-Jun-12,19.5,21.79,20.44
06-Jun-12,18.79,19.88,19.5
07-Jun-12,15.84,18.2,16.69
08-Jun-12,10.94,17.8,12.57
11-Jun-12,18,19.87,19.16
12-Jun-12,18,20.7,20.24
13-Jun-12,16.14,18.55,17.2
14-Jun-12,18.88,20.92,19.33
15-Jun-12,13.67,14.6,13.71
18-Jun-12,19.33,20.52,20.24
19-Jun-12,18,20.14,19.24
20-Jun-12,18,21.23,19.47
21-Jun-12,20.95,19.99,20.65
22-Jun-12,19.77,20.39,19.9
25-Jun-12,19.85,20.04,19.93
26-Jun-12,19.34,20.26,20.03
27-Jun-12,19.38,20,19.43
28-Jun-12,19.76,20.99,20.55
29-Jun-12,18.48,19.06,18.77
,,,
02-Jul-12,21.25,22.26,22.14
03-Jul-12,21.48,20.53,20.8
04-Jul-12,21.48,20.47,20.82
05-Jul-12,18.56,20.36,19.71
06-Jul-12,15.14,19.4,17.8
09-Jul-12,16.83,18.23,18.17
10-Jul-12,15.39,16.93,16.23
11-Jul-12,15.65,18.25,17.51
12-Jul-12,10,16.18,13.37
13-Jul-12,4.98,16.97,8.60%
16-Jul-12,16.75,18.31,17.89%
17-Jul-12,16.37,18.58,18.06%
18-Jul-12,16.64,18.25,17.73%
19-Jul-12,14.98,18.04,16.36%
20-Jul-12,7.69,16.99,11.61%
23-Jul-12,9.35,16.99,13.61
24-Jul-12,10.86,16.95,15.3
25-Jul-12,10.37,15.92,11.86
26-Jul-12,11.62,16.87,13.15
27-Jul-12,6.36,18.63,7.8
30-Jul-12,15.58,17.82,17.83
31-Jul-12,16.53,17.73,17.06
,,,
01-Aug-12,15.86,17.49,16.94
02-Aug-12,15.91,16.74,16.42
03-Aug-12,10.64,16.81,12.07
06-Aug-12,11.16,16.48,15.18
07-Aug-12,12.27,17.19,14.5
08-Aug-12,11.53,16.46,14.03
09-Aug-12,6.23,14.73,8.94
10-Aug-12,4.46,16.36,9.58
13-Aug-12,12.19,16.83,14.87
14-Aug-12,9.4,15.59,12.09
15-Aug-12,6.5,16.14,10.45
16-Aug-12,10.89,16.5,12.47
17-Aug-12,11.08,14.75,11.61
20-Aug-12,12.37,16.95,15.47
21-Aug-12,12.42,16.8,12.81
22-Aug-12,11.96,15.81,12.2
23-Aug-12,11.04,16,11.61
24-Aug-12,9.02,16,9.02
27-Aug-12,13.76,17.33,14.79
28-Aug-12,17,16.94,16.94
29-Aug-12,19.02,16.56,18.75
30-Aug-12,12.54,16.39,14.58
31-Aug-12,11.57,14,12.11
,,,
03-Sep-12,11.23,16.36,15.09
04-Sep-12,10.63,14.5,11.27
05-Sep-12,10.41,13.33,12.01
06-Sep-12,8.07,14.53,11.3
07-Sep-12,7.24,12.43,7.84
10-Sep-12,12.8,14.95,14.26
11-Sep-12,11.79,15.23,12.67
12-Sep-12,12.5,15.31,14.73
13-Sep-12,12.81,14.98,14.29
14-Sep-12,11.16,15,12.68
17-Sep-12,13.2,14.93,14.15
18-Sep-12,13.05,14.71,13.29
19-Sep-12,12.66,15.09,13.87
20-Sep-12,12.27,15.34,13.31
21-Sep-12,10.91,15,11.12
24-Sep-12,10.15,14.92,12.95
25-Sep-12,8.77,12.79,10.51
26-Sep-12,7.92,15.03,12.3
27-Sep-12,5.85,14.13,6.44
28-Sep-12,5.18,12.39,6.85
,,,
