Date,Overnight_rate,Seven_day_rate,Overall_rate
2012-01-02,27.2,30.75,30.42
2012-01-03,26.62,30.96,28.32
2012-01-04,28.14,30.59,29.48
2012-01-05,26.8,28.26,27.46
2012-01-09,29.0,29.25,29.24
2012-01-10,26.0,25.66,26.29
2012-01-11,24.5,27.34,25.9
2012-01-12,23.3,25.71,24.4
2012-01-16,24.58,29.0,25.96
2012-01-17,24.13,27.0,25.71
2012-01-18,27.39,26.52,27.12
2012-01-19,29.86,31.13,30.05
2012-01-20,29.86,26.5,26.43
2012-01-23,25.92,28.24,26.77
2012-01-24,25.4,28.45,25.94
2012-01-25,20.05,27.93,21.5
2012-01-27,20.05,28.88,18.72
2012-01-30,27.0,29.19,29.14
2012-01-31,26.35,30.97,27.58
2012-02-01,27.37,29.33,27.46
2012-02-02,25.92,29.78,26.41
2012-02-03,25.92,26.24,23.2
2012-02-06,17.27,28.18,18.91
2012-02-07,20.93,23.4,21.87
2012-02-08,12.93,17.75,15.34
2012-02-09,5.22,16.17,6.91
2012-02-10,5.22,16.17,9.17
2012-02-13,14.23,21.96,16.6
2012-02-14,15.36,23.15,17.54
2012-02-15,16.51,23.23,20.39
2012-02-16,19.94,23.47,21.65
2012-02-17,19.94,22.5,19.74
2012-02-20,18.38,24.16,22.3
2012-02-21,20.44,25.14,23.58
2012-02-22,20.61,22.81,21.88
2012-02-23,11.34,21.28,14.33
2012-02-24,7.99,22.67,9.33
2012-02-27,15.94,24.05,22.29
2012-02-28,18.5,22.88,19.81
2012-02-29,17.15,22.63,18.39
2012-03-01,17.15,22.62,23.03
2012-03-02,17.15,21.54,19.68
2012-03-05,21.38,24.0,22.52
2012-03-06,22.44,25.38,20.91
2012-03-07,22.44,25.87,23.93
2012-03-09,22.44,26.25,21.53
2012-03-12,24.33,27.82,26.59
2012-03-13,25.53,26.33,25.72
2012-03-14,26.33,26.33,26.22
2012-03-15,26.08,27.0,26.5
2012-03-16,26.08,27.88,24.64
2012-03-19,25.17,27.13,26.63
2012-03-20,22.91,25.46,24.06
2012-03-21,18.68,23.3,20.16
2012-03-22,17.53,21.38,18.49
2012-03-23,17.53,18.0,8.92
2012-03-26,23.55,27.0,25.08
2012-03-27,22.96,24.33,23.49
2012-03-28,22.35,24.06,23.19
2012-03-29,22.62,26.31,23.19
2012-03-30,22.62,26.31,17.85
2012-04-02,21.33,26.31,23.91
2012-04-03,18.0,22.73,20.62
2012-04-04,22.55,24.36,23.35
2012-04-05,22.55,22.18,22.45
2012-04-10,22.37,23.18,22.89
2012-04-11,24.27,23.71,24.06
2012-04-12,21.6,24.0,22.28
2012-04-13,21.6,25.0,16.19
2012-04-16,20.43,21.94,21.08
2012-04-17,21.53,22.12,22.06
2012-04-18,17.33,20.0,19.17
2012-04-19,17.04,22.36,19.36
2012-04-20,17.04,19.14,14.86
2012-04-23,19.5,23.6,22.96
2012-04-24,21.5,23.6,22.51
2012-04-25,20.87,22.42,21.96
2012-04-26,21.64,23.0,22.44
2012-04-27,21.64,22.89,19.47
2012-04-30,21.64,22.79,22.73
2012-05-02,18.17,20.58,19.85
2012-05-03,17.0,20.75,18.98
2012-05-04,17.0,23.95,19.09
2012-05-07,20.85,22.52,22.38
2012-05-08,20.0,21.61,21.48
2012-05-09,19.0,20.12,19.98
2012-05-10,16.0,19.36,19.17
2012-05-11,16.0,20.0,16.16
2012-05-14,15.5,19.79,18.02
2012-05-15,14.69,21.37,16.12
2012-05-16,16.05,21.2,18.39
2012-05-17,18.17,20.91,18.47
2012-05-18,13.01,20.54,14.36
2012-05-21,18.68,20.26,19.66
2012-05-22,19.67,20.89,20.6
2012-05-23,18.68,20.45,19.12
2012-05-24,19.33,20.66,20.63
2012-05-25,13.94,20.58,15.54
2012-05-28,17.75,20.24,20.07
2012-05-29,14.15,18.29,16.53
2012-05-30,16.44,20.64,19.59
2012-05-31,13.27,20.75,14.13
2012-06-01,7.5,17.57,8.94
2012-06-04,18.14,20.15,19.37
2012-06-05,19.5,21.79,20.44
2012-06-06,18.79,19.88,19.5
2012-06-07,15.84,18.2,16.69
2012-06-08,10.94,17.8,12.57
2012-06-11,18.0,19.87,19.16
2012-06-12,18.0,20.7,20.24
2012-06-13,16.14,18.55,17.2
2012-06-14,18.88,20.92,19.33
2012-06-15,13.67,14.6,13.71
2012-06-18,19.33,20.52,20.24
2012-06-19,18.0,20.14,19.24
2012-06-20,18.0,21.23,19.47
2012-06-21,20.95,19.99,20.65
2012-06-22,19.77,20.39,19.9
2012-06-25,19.85,20.04,19.93
2012-06-26,19.34,20.26,20.03
2012-06-27,19.38,20.0,19.43
2012-06-28,19.76,20.99,20.55
2012-06-29,18.48,19.06,18.77
2012-07-02,21.25,22.26,22.14
2012-07-03,21.48,20.53,20.8
2012-07-04,21.48,20.47,20.82
2012-07-05,18.56,20.36,19.71
2012-07-06,15.14,19.4,17.8
2012-07-09,16.83,18.23,18.17
2012-07-10,15.39,16.93,16.23
2012-07-11,15.65,18.25,17.51
2012-07-12,10.0,16.18,13.37
2012-07-13,4.98,16.97,8.6
2012-07-16,16.75,18.31,17.89
2012-07-17,16.37,18.58,18.06
2012-07-18,16.64,18.25,17.73
2012-07-19,14.98,18.04,16.36
2012-07-20,7.69,16.99,11.61
2012-07-23,9.35,16.99,13.61
2012-07-24,10.86,16.95,15.3
2012-07-25,10.37,15.92,11.86
2012-07-26,11.62,16.87,13.15
2012-07-27,6.36,18.63,7.8
2012-07-30,15.58,17.82,17.83
2012-07-31,16.53,17.73,17.06
2012-08-01,15.86,17.49,16.94
2012-08-02,15.91,16.74,16.42
2012-08-03,10.64,16.81,12.07
2012-08-06,11.16,16.48,15.18
2012-08-07,12.27,17.19,14.5
2012-08-08,11.53,16.46,14.03
2012-08-09,6.23,14.73,8.94
2012-08-10,4.46,16.36,9.58
2012-08-13,12.19,16.83,14.87
2012-08-14,9.4,15.59,12.09
2012-08-15,6.5,16.14,10.45
2012-08-16,10.89,16.5,12.47
2012-08-17,11.08,14.75,11.61
2012-08-20,12.37,16.95,15.47
2012-08-21,12.42,16.8,12.81
2012-08-22,11.96,15.81,12.2
2012-08-23,11.04,16.0,11.61
2012-08-24,9.02,16.0,9.02
2012-08-27,13.76,17.33,14.79
2012-08-28,17.0,16.94,16.94
2012-08-29,19.02,16.56,18.75
2012-08-30,12.54,16.39,14.58
2012-08-31,11.57,14.0,12.11
2012-09-03,11.23,16.36,15.09
2012-09-04,10.63,14.5,11.27
2012-09-05,10.41,13.33,12.01
2012-09-06,8.07,14.53,11.3
2012-09-07,7.24,12.43,7.84
2012-09-10,12.8,14.95,14.26
2012-09-11,11.79,15.23,12.67
2012-09-12,12.5,15.31,14.73
2012-09-13,12.81,14.98,14.29
2012-09-14,11.16,15.0,12.68
2012-09-17,13.2,14.93,14.15
2012-09-18,13.05,14.71,13.29
2012-09-19,12.66,15.09,13.87
2012-09-20,12.27,15.34,13.31
2012-09-21,10.91,15.0,11.12
2012-09-24,10.15,14.92,12.95
2012-09-25,8.77,12.79,10.51
2012-09-26,7.92,15.03,12.3
2012-09-27,5.85,14.13,6.44
2012-09-28,5.18,12.39,6.85
2012-10-01,5.24,14.02,11.77
2012-10-02,5.7,12.4,7.04
2012-10-03,6.51,12.97,9.96
2012-10-04,10.19,12.91,11.56
2012-10-05,7.92,12.82,9.21
2012-10-08,7.92,12.93,12.56
2012-10-10,11.27,13.8,12.93
2012-10-11,11.77,13.93,12.51
2012-10-12,13.12,14.23,13.51
2012-10-15,14.19,14.88,14.59
2012-10-16,15.07,15.4,14.91
2012-10-17,13.5,13.59,14.0
2012-10-18,11.89,12.7,12.2
2012-10-19,5.69,12.7,8.61
2012-10-22,13.34,13.62,13.41
2012-10-23,14.38,13.25,14.13
2012-10-24,11.55,14.68,13.41
2012-10-25,11.55,14.32,13.15
2012-10-29,11.24,13.51,12.62
2012-10-30,11.72,12.65,11.72
2012-10-31,9.79,13.93,11.72
2012-11-01,10.14,14.0,11.76
2012-11-02,0.0,12.54,8.23
2012-11-05,12.1,12.75,12.45
2012-11-06,7.74,12.06,9.02
2012-11-07,6.47,12.59,10.38
2012-11-08,6.0,11.89,9.2
2012-11-09,6.41,13.26,8.64
2012-11-12,7.61,12.36,10.04
2012-11-13,7.59,12.09,8.88
2012-11-14,8.11,12.98,9.65
2012-11-15,7.76,12.47,10.65
2012-11-16,6.49,12.85,9.47
2012-11-19,8.54,12.96,10.56
2012-11-20,8.51,12.5,10.14
2012-11-21,8.76,12.39,10.36
2012-11-22,7.07,12.65,8.44
2012-11-23,9.34,12.63,9.87
2012-11-26,8.56,12.46,11.75
2012-11-27,7.88,12.65,11.02
2012-11-28,9.82,12.83,11.88
2012-11-29,8.63,12.36,9.39
2012-11-30,6.65,12.23,8.86
2012-12-03,10.3,13.01,12.36
2012-12-04,9.98,12.59,10.94
2012-12-05,9.35,12.27,10.3
2012-12-06,10.98,12.81,11.87
2012-12-07,7.48,12.54,8.69
2012-12-10,7.9,12.22,11.15
2012-12-11,5.35,12.47,8.21
2012-12-12,4.84,12.61,8.2
2012-12-13,5.54,12.08,7.75
2012-12-14,3.9,11.5,6.61
2012-12-17,8.35,12.0,10.45
2012-12-18,8.58,12.37,10.27
2012-12-19,8.44,12.54,9.81
2012-12-20,9.47,12.5,9.99
2012-12-21,7.83,11.5,9.2
2012-12-24,8.05,12.11,9.31
2012-12-27,8.9,12.13,11.19
2012-12-28,0.0,12.38,7.82
2012-12-31,8.52,11.89,10.88
2013-01-02,7.65,12.03,9.28
2013-01-03,7.24,11.92,10.99
2013-01-04,5.84,11.46,6.86
2013-01-07,9.02,11.56,9.6
2013-01-08,7.84,11.33,8.92
2013-01-09,7.88,12.84,8.83
2013-01-10,6.21,12.73,9.34
2013-01-11,7.71,12.37,8.41
2013-01-14,8.67,12.87,12.17
2013-01-15,7.88,11.47,8.69
2013-01-16,9.0,12.0,10.84
2013-01-17,6.85,11.74,9.47
2013-01-18,6.81,11.95,9.36
2013-01-21,8.75,12.22,9.46
2013-01-22,5.76,12.47,7.18
2013-01-23,8.48,12.46,11.19
2013-01-24,6.97,12.1,8.7
2013-01-25,4.1,10.86,5.8
2013-01-28,7.3,11.9,10.1
2013-01-29,6.3,11.8,9.2
2013-01-31,6.5,11.9,10.1
2013-02-01,6.4,10.2,7.4
2013-02-04,8.3,11.8,10.5
2013-02-05,7.1,11.7,7.7
2013-02-06,7.5,11.7,8.7
2013-02-07,6.3,10.5,7.1
2013-02-08,3.5,10.5,3.7
2013-02-11,5.9,11.8,9.2
2013-02-12,5.6,12.0,7.5
2013-02-13,4.4,10.0,4.9
2013-02-14,4.7,10.5,7.2
2013-02-15,4.0,9.1,5.2
2013-02-18,3.72,10.09,7.17
2013-02-19,3.5,10.9,7.2
2013-02-20,5.7,0.0,5.8
2013-02-21,4.2,12.5,4.7
2013-02-22,3.9,9.4,7.4
2013-02-25,4.9,11.5,8.1
2013-02-26,4.3,10.0,5.5
2013-02-27,5.4,10.8,8.1
2013-02-28,5.5,10.8,7.4
2013-03-01,5.5,0.0,7.5
2013-03-04,6.0,10.8,6.9
2013-03-05,6.8,11.6,7.8
2013-03-06,8.53,12.02,10.37
2013-03-07,9.91,11.13,10.01
2013-03-11,7.08,11.75,8.69
2013-03-12,5.36,11.75,6.05
2013-03-14,5.2,10.0,5.71
2013-03-15,5.5,9.5,5.83
2013-03-18,6.88,10.7,8.32
2013-03-19,7.48,11.78,8.35
2013-03-20,8.24,11.5,8.97
2013-03-21,9.66,12.0,9.79
2013-03-22,11.52,0.0,11.57
2013-03-25,9.85,11.74,10.79
2013-03-26,9.46,11.5,10.53
2013-03-27,9.2,12.0,9.41
2013-03-28,10.3,7.33,10.26
2013-04-02,9.75,10.38,9.66
2013-04-03,7.4,10.78,8.12
2013-04-04,8.22,10.21,8.25
2013-04-05,7.19,10.35,7.4
2013-04-08,6.53,0.0,6.53
2013-04-09,7.59,11.0,7.25
2013-04-10,7.04,11.44,7.62
2013-04-11,6.31,10.22,6.82
2013-04-12,7.03,9.29,7.14
2013-04-15,5.89,11.19,7.08
2013-04-16,8.27,11.5,8.36
2013-04-17,9.84,11.57,10.28
2013-04-18,8.98,10.7,9.19
2013-04-19,9.38,11.0,9.44
2013-04-22,9.35,12.0,10.02
2013-04-23,9.4,11.82,9.59
2013-04-24,9.94,11.33,10.08
2013-04-25,9.74,12.29,9.92
2013-04-29,10.51,12.16,8.54
2013-05-02,8.74,12.03,8.97
2013-05-03,7.43,12.0,7.47
2013-05-06,9.48,12.46,9.87
2013-05-07,7.94,12.0,8.22
2013-05-08,5.06,9.45,6.74
2013-05-09,6.76,0.0,6.79
2013-05-13,9.35,12.0,9.52
2013-05-14,9.69,11.82,9.83
2013-05-15,8.62,11.19,8.84
2013-05-16,9.63,11.81,9.63
2013-05-17,8.75,11.31,8.92
2013-05-20,10.02,12.05,10.41
2013-05-21,10.68,12.65,10.99
2013-05-22,11.98,12.19,12.02
2013-05-23,11.19,12.14,11.68
2013-05-24,10.47,12.01,10.98
2013-05-27,10.09,12.17,10.49
2013-05-28,10.32,11.77,10.66
2013-05-29,11.16,12.09,11.82
2013-05-30,11.08,12.61,11.56
2013-05-31,10.42,12.21,10.87
2013-06-04,8.44,11.99,10.08
2013-06-05,8.89,11.95,10.31
2013-06-06,7.73,12.03,10.56
2013-06-07,6.88,10.17,8.42
2013-06-10,5.53,11.1,7.58
2013-06-11,6.4,10.81,7.94
2013-06-12,5.12,10.45,7.27
2013-06-13,6.15,10.58,8.81
2013-06-14,6.64,9.0,6.7
2013-06-17,6.17,10.99,9.88
2013-06-18,9.06,10.79,9.45
2013-06-19,9.62,11.0,10.08
2013-06-20,9.96,10.85,10.19
2013-06-21,8.77,11.41,9.48
2013-06-24,8.52,11.06,10.01
2013-06-25,8.47,11.05,9.0
2013-06-26,6.34,10.94,9.35
2013-06-27,5.25,10.8,6.0
2013-06-28,6.71,10.7,7.54
2013-07-01,9.99,11.1,10.72
2013-07-02,9.69,11.0,10.09
2013-07-03,8.19,9.94,8.44
2013-07-04,7.99,11.0,8.23
2013-07-05,7.53,10.61,8.06
2013-07-08,8.15,11.08,10.3
2013-07-09,6.92,10.88,7.71
2013-07-10,7.15,10.69,8.01
2013-07-11,7.59,10.82,8.26
2013-07-12,8.74,11.15,9.86
2013-07-15,8.62,11.04,10.5
2013-07-16,9.58,11.2,10.3
2013-07-17,10.66,11.51,10.92
2013-07-18,10.15,11.27,10.6
2013-07-19,9.3,11.09,10.21
2013-07-22,9.02,11.1,10.27
2013-07-23,8.98,11.0,9.87
2013-07-24,8.64,10.93,9.74
2013-07-25,7.74,10.4,8.95
2013-07-26,7.08,11.25,7.39
2013-07-29,7.4,11.15,10.06
2013-07-30,6.67,10.81,8.32
2013-07-31,7.08,11.84,7.83
2013-08-01,5.92,11.04,7.36
2013-08-02,5.15,11.17,5.36
2013-08-05,7.05,11.07,9.41
2013-08-06,7.31,11.0,7.83
2013-08-07,6.9,11.0,8.13
2013-08-09,7.53,10.58,7.75
2013-08-12,7.04,10.97,8.76
2013-08-13,6.18,10.72,6.68
2013-08-14,5.32,10.38,6.03
2013-08-15,5.47,10.67,5.83
2013-08-16,6.08,10.95,6.08
2013-08-19,7.94,10.92,8.8
2013-08-20,8.39,10.08,8.46
2013-08-21,8.8,11.17,9.05
2013-08-22,10.14,11.59,10.35
2013-08-23,9.79,11.13,10.1
2013-08-26,6.66,11.01,8.54
2013-08-27,7.18,11.0,7.24
2013-08-28,7.86,11.05,8.06
2013-08-29,6.77,11.0,7.07
2013-08-30,5.04,10.88,5.77
2013-09-02,6.22,10.98,8.83
2013-09-03,7.56,10.75,8.21
2013-09-04,7.21,12.11,8.9
2013-09-05,7.23,11.7,7.77
2013-09-06,4.07,11.25,4.26
2013-09-09,7.13,11.83,9.26
2013-09-10,7.52,11.0,7.97
2013-09-11,5.8,11.88,8.57
2013-09-12,5.84,9.69,6.26
2013-09-13,9.88,12.0,9.96
2013-09-16,11.55,12.09,11.68
2013-09-17,11.81,12.47,11.96
2013-09-18,10.88,11.92,11.03
2013-09-19,10.33,12.08,11.16
2013-09-20,7.02,11.0,7.23
2013-09-23,9.1,11.93,10.34
2013-09-24,8.47,11.82,9.6
2013-09-25,6.74,11.92,8.59
2013-09-26,8.38,11.91,9.2
2013-09-27,5.74,11.5,5.9
2013-09-30,5.27,10.0,5.54
2013-10-01,5.98,11.92,8.76
2013-10-02,5.69,11.91,7.28
2013-10-03,6.24,11.81,7.37
2013-10-04,5.57,12.0,5.89
2013-10-07,8.46,11.96,8.8
2013-10-08,8.45,12.12,9.72
2013-10-10,9.41,12.5,9.51
2013-10-11,10.91,12.5,10.97
2013-10-14,9.91,12.5,10.03
2013-10-16,10.26,12.13,11.1
2013-10-17,10.87,11.91,11.36
2013-10-18,5.94,9.51,6.7
2013-10-21,10.24,9.0,10.02
2013-10-22,12.1,11.95,12.06
2013-10-23,11.01,12.64,11.81
2013-10-24,9.62,11.72,8.42
2013-10-25,8.2,12.0,8.3
2013-10-28,7.72,11.8,7.96
2013-10-29,6.43,11.83,6.86
2013-10-30,7.53,12.0,7.6
2013-10-31,6.69,11.72,7.27
2013-11-01,8.13,11.5,8.31
2013-11-04,10.0,12.33,10.36
2013-11-05,9.2,11.98,9.91
2013-11-06,8.94,13.0,8.99
2013-11-07,8.12,11.96,8.62
2013-11-08,9.38,12.0,9.82
2013-11-11,9.15,12.1,9.35
2013-11-12,7.7,12.1,7.72
2013-11-13,7.6,12.06,7.89
2013-11-14,7.39,11.57,7.96
2013-11-15,5.24,11.78,6.94
2013-11-18,8.96,12.02,10.11
2013-11-19,8.77,11.21,9.1
2013-11-20,9.4,12.5,9.11
2013-11-21,8.06,12.38,8.28
2013-11-22,8.76,12.0,8.79
2013-11-25,8.45,12.11,10.06
2013-11-26,8.12,11.96,8.84
2013-11-27,9.41,12.5,9.48
2013-11-28,8.78,12.0,9.08
2013-11-29,9.08,11.95,9.42
2013-12-02,8.88,11.73,9.11
2013-12-03,9.6,11.7,10.84
2013-12-04,10.7,11.38,10.97
2013-12-05,9.25,11.65,9.7
2013-12-06,6.46,11.56,7.05
2013-12-09,6.84,11.44,7.37
2013-12-10,6.72,11.34,7.97
2013-12-11,5.96,10.94,6.31
2013-12-12,4.33,11.25,4.52
2013-12-16,7.21,11.47,8.55
2013-12-17,10.22,11.52,10.6
2013-12-18,11.75,12.0,11.75
2013-12-19,11.11,11.0,11.11
2013-12-20,8.38,10.33,8.46
2013-12-23,6.91,11.26,7.96
2013-12-24,4.16,9.67,4.41
2013-12-27,5.04,9.83,5.25
2013-12-30,6.51,11.36,8.73
2013-12-31,6.07,10.07,6.25
2014-01-02,8.45,10.64,8.59
2014-01-03,8.27,11.5,8.31
2014-01-06,7.81,11.03,8.02
2014-01-07,7.37,10.51,8.08
2014-01-08,7.06,11.25,8.25
2014-01-09,5.97,11.0,6.54
2014-01-10,6.9,11.0,6.9
2014-01-13,6.98,11.0,7.08
2014-01-14,7.79,11.0,7.79
2014-01-15,9.1,11.0,9.37
2014-01-16,9.25,11.05,9.63
2014-01-17,9.07,10.71,9.22
2014-01-20,7.96,11.39,9.04
2014-01-21,7.89,11.39,7.89
2014-01-22,10.19,11.39,10.19
2014-01-23,10.59,11.55,10.81
2014-01-24,10.46,11.8,10.49
2014-01-27,8.24,11.3,8.61
2014-01-28,8.3,11.39,8.78
2014-01-29,9.27,11.5,9.51
2014-01-30,10.41,11.17,10.42
2014-01-31,10.21,11.5,10.57
2014-02-03,9.77,11.5,9.77
2014-02-04,10.22,11.5,10.27
2014-02-05,10.0,11.78,10.2
2014-02-06,9.5,11.53,9.87
2014-02-07,6.44,11.0,6.96
2014-02-10,9.0,11.0,9.0
2014-02-11,8.6,11.0,8.6
2014-02-12,9.83,11.4,10.25
2014-02-13,10.25,11.5,10.5
2014-02-14,10.41,11.5,10.45
2014-02-17,9.19,11.5,9.55
2014-02-18,8.93,10.5,9.11
2014-02-19,10.36,10.67,10.38
2014-02-20,9.2,11.38,9.45
2014-02-21,8.09,11.38,8.09
2014-02-24,9.55,11.38,9.55
2014-02-25,8.74,11.5,8.82
2014-02-26,8.06,10.44,8.29
2014-02-27,10.5,11.35,10.54
2014-02-28,10.12,11.5,10.15
2014-03-03,8.87,11.5,9.14
2014-03-04,9.32,11.5,9.32
2014-03-05,7.75,11.3,8.1
2014-03-06,8.94,11.3,8.94
2014-03-07,9.63,11.3,9.63
2014-03-10,8.09,11.3,8.09
2014-03-11,8.48,10.5,8.5
2014-03-12,9.32,10.5,9.32
2014-03-13,8.96,11.27,9.08
2014-03-14,9.27,11.4,9.75
2014-03-17,9.28,11.4,9.42
2014-03-18,10.41,11.5,10.43
2014-03-19,11.41,11.36,11.4
2014-03-20,11.56,11.5,11.56
2014-03-21,10.05,11.3,10.33
2014-03-24,10.58,11.3,10.9
2014-03-25,8.98,11.29,9.47
2014-03-26,9.44,11.31,9.53
2014-03-27,10.01,11.35,9.75
2014-03-28,9.72,11.5,9.96
2014-03-31,9.69,11.5,9.69
2014-04-01,9.01,11.5,9.22
2014-04-02,8.72,11.5,8.8
2014-04-03,8.6,11.5,8.66
2014-04-04,8.37,11.5,8.37
2014-04-07,8.9,11.25,9.74
2014-04-08,8.26,11.25,8.26
2014-04-09,7.48,11.25,7.48
2014-04-10,7.95,10.9,8.09
2014-04-11,8.22,10.9,8.28
2014-04-14,9.79,10.9,9.9
2014-04-15,10.11,10.9,10.11
2014-04-16,10.9,11.2,10.92
2014-04-17,10.91,11.5,10.94
2014-04-22,10.25,11.5,10.58
2014-04-23,10.22,11.21,10.38
2014-04-24,8.54,11.53,8.89
2014-04-25,8.85,11.53,8.85
2014-04-28,9.39,11.5,9.57
2014-04-29,10.09,11.0,10.15
2014-04-30,10.66,12.0,10.69
2014-05-02,10.47,11.5,10.5
2014-05-05,8.56,11.36,9.21
2014-05-06,10.07,11.36,10.19
2014-05-07,9.7,11.36,9.7
2014-05-08,9.91,11.25,10.06
2014-05-09,10.37,11.25,10.37
2014-05-12,7.81,11.25,8.12
2014-05-13,9.62,11.22,9.91
2014-05-15,8.41,11.25,8.59
2014-05-19,9.41,10.35,9.44
2014-05-20,10.1,11.25,10.18
2014-05-22,8.52,11.25,8.66
2014-05-23,6.78,10.5,7.19
2014-05-29,8.82,11.19,8.97
2014-05-30,6.32,11.0,6.51
2014-06-04,7.95,11.01,8.55
2014-06-05,8.51,10.5,8.76
2014-06-10,6.16,10.44,6.56
2014-06-11,6.39,10.69,7.27
2014-06-16,5.98,10.88,6.17
2014-06-17,6.53,10.75,6.42
2014-06-18,7.31,10.75,7.52
2014-06-19,7.3,10.73,8.31
