Date,Overnight_rate,Seven_day_rate,Overall_rate
2023-07-03,9.97,10.39,10.06
2023-07-04,10.4,10.42,10.4
2023-07-05,10.01,10.89,10.14
2023-07-06,9.92,10.44,10.25
2023-07-07,9.84,10.48,9.96
2023-07-10,8.85,10.5,8.99
2023-07-11,10.06,10.41,10.24
2023-07-12,10.19,10.63,10.38
2023-07-13,9.96,10.53,10.34
2023-07-14,9.93,10.14,9.96
2023-07-17,10.2,10.75,10.26
2023-07-18,10.64,11.0,10.57
2023-07-19,10.43,10.15,10.37
2023-07-20,10.49,10.74,10.62
2023-07-21,10.34,10.78,10.56
2023-07-24,10.16,10.43,10.31
2023-07-25,10.6,10.11,10.5
2023-07-26,10.43,10.37,10.41
2023-07-27,10.42,10.69,10.53
2023-07-28,10.4,10.41,10.41
2023-07-31,10.18,10.5,10.27
2023-08-01,9.77,10.5,9.8
2023-08-02,9.8,10.37,10.1
2023-08-03,10.58,10.6,10.6
2023-08-04,10.44,10.5,10.46
2023-08-07,10.34,10.48,10.4
2023-08-08,10.27,10.5,10.31
2023-08-09,10.28,10.5,10.35
2023-08-10,10.44,10.62,10.55
2023-08-11,10.45,10.74,10.56
2023-08-14,10.46,10.5,10.47
2023-08-15,10.73,10.36,10.63
2023-08-17,10.33,10.52,10.45
2023-08-18,10.46,10.39,10.45
2023-08-21,10.12,10.12,10.16
2023-08-22,10.02,10.04,10.06
2023-08-23,10.36,10.5,10.4
2023-08-24,10.24,10.57,10.43
2023-08-25,10.63,10.25,10.52
2023-08-28,10.47,10.33,10.46
2023-08-29,10.53,10.5,10.54
2023-08-30,10.62,10.39,10.57
2023-08-31,10.46,10.61,10.53
2023-09-01,10.62,10.46,10.55
2023-09-04,10.08,10.36,10.24
2023-09-05,10.17,10.0,10.34
2023-09-06,10.26,10.0,10.25
2023-09-07,10.36,10.56,10.43
2023-09-08,9.87,10.17,9.96
2023-09-11,9.29,10.0,9.52
2023-09-12,9.84,10.13,9.07
2023-09-13,9.7,10.24,9.83
2023-09-14,9.64,10.28,10.0
2023-09-15,10.27,10.36,10.3
2023-09-18,10.12,10.5,10.24
2023-09-19,10.24,10.0,10.2
2023-09-20,10.25,10.05,10.2
2023-09-21,9.96,10.25,10.17
2023-09-22,10.39,11.43,10.59
2023-09-25,10.0,10.39,10.22
2023-09-27,9.64,10.38,9.79
2023-09-28,10.25,10.27,10.26
2023-09-29,10.4,10.0,10.39
2023-10-03,10.76,10.1,10.68
2023-10-04,10.28,10.53,10.32
2023-10-05,10.33,10.5,10.41
2023-10-10,10.26,10.55,10.37
2023-10-11,10.23,10.35,10.24
2023-10-12,10.47,10.62,10.53
2023-10-13,10.65,10.56,10.63
2023-10-16,11.0,10.72,10.89
2023-10-17,10.94,10.5,10.92
2023-10-18,10.99,10.78,10.96
2023-10-19,10.89,11.04,10.96
2023-10-20,11.29,11.14,11.2
2023-10-23,11.03,10.93,11.0
2023-10-24,10.68,10.85,10.67
2023-10-25,10.27,10.5,10.28
2023-10-26,10.82,11.01,10.89
2023-10-27,10.12,10.95,10.23
2023-10-30,10.89,11.04,10.96
2023-10-31,10.54,10.65,10.55
2023-11-02,10.55,11.06,10.74
2023-11-03,10.96,10.8,10.93
2023-11-06,10.76,10.92,10.72
2023-11-07,8.61,10.84,8.96
2023-11-08,9.92,10.52,10.08
2023-11-09,9.89,11.02,10.46
2023-11-10,10.78,11.0,10.8
2023-11-13,10.65,11.0,10.68
2023-11-14,10.9,11.08,10.91
2023-11-15,9.93,11.27,10.0
2023-11-16,10.32,10.87,10.55
2023-11-17,10.44,10.68,10.52
2023-11-20,10.64,10.56,10.65
2023-11-21,10.48,10.82,10.59
2023-11-22,10.61,11.0,10.63
2023-11-23,10.6,11.0,10.63
2023-11-24,10.11,10.73,10.37
2023-11-27,10.47,10.51,10.47
2023-11-28,10.7,10.66,10.69
2023-11-29,10.0,10.5,10.09
2023-11-30,10.63,10.53,10.56
2023-12-01,10.09,10.59,10.33
2023-12-04,10.13,10.14,10.22
2023-12-05,10.16,10.14,10.23
2023-12-06,9.85,10.44,9.9
2023-12-07,10.55,10.62,10.52
2023-12-08,10.29,10.25,10.3
2023-12-11,9.42,10.7,9.78
2023-12-12,9.91,10.7,10.06
2023-12-14,9.78,10.38,9.92
2023-12-15,10.08,10.31,10.12
2023-12-19,10.68,11.0,10.66
2023-12-20,9.97,10.89,10.0
2023-12-21,10.01,10.68,10.3
2023-12-27,10.6,11.05,10.77
2023-12-28,10.43,10.82,10.45
2024-01-02,10.15,10.86,10.39
2024-01-03,10.26,10.5,10.37
2024-01-04,10.36,10.81,10.53
2024-01-05,10.6,10.73,10.61
2024-01-08,10.55,10.65,10.61
2024-01-09,10.79,10.92,10.93
2024-01-10,10.93,10.92,10.99
2024-01-11,10.91,10.95,10.92
2024-01-12,10.86,10.86,10.87
2024-01-15,10.82,10.9,10.86
2024-01-16,10.64,11.0,10.66
2024-01-17,10.88,11.0,10.91
2024-01-18,10.31,10.97,10.46
2024-01-22,9.88,10.73,10.1
2024-01-23,9.48,11.0,9.6
2024-01-24,10.39,10.64,10.44
2024-01-25,10.5,10.66,10.56
2024-01-29,10.17,10.87,10.31
2024-01-30,10.14,10.7,9.92
2024-01-31,9.54,10.5,9.82
2024-02-01,10.21,10.85,10.39
2024-02-02,10.61,11.0,10.65
2024-02-05,10.39,10.82,10.47
2024-02-06,10.47,10.88,10.52
2024-02-07,10.47,10.88,10.52
2024-02-08,10.75,10.95,10.82
2024-02-09,10.75,10.95,10.82
2024-02-12,10.62,10.93,10.66
2024-02-13,10.2,10.75,10.21
2024-02-14,10.18,10.88,10.22
2024-02-19,10.53,11.46,10.8
2024-02-21,11.12,11.65,11.29
2024-02-22,11.26,11.22,11.27
2024-02-23,11.27,11.1,11.25
2024-02-26,11.19,11.43,11.17
2024-02-28,10.87,11.5,10.97
2024-02-29,11.17,11.47,11.28
2024-03-04,11.28,11.29,11.28
2024-03-05,11.26,11.42,11.29
2024-03-06,11.56,11.5,11.69
2024-03-11,11.75,11.82,11.73
2024-03-12,11.6,11.88,11.65
2024-03-14,11.84,11.96,11.87
2024-03-15,11.86,11.78,11.85
2024-03-18,11.44,11.54,11.45
2024-03-19,11.7,11.88,11.73
2024-03-20,11.61,11.42,11.6
2024-03-21,11.57,11.73,11.61
2024-03-26,11.35,11.78,11.38
2024-03-27,10.9,11.69,10.95
2024-04-02,11.74,11.6,11.69
2024-04-04,11.76,12.12,11.93
2024-04-05,11.83,12.0,11.84
2024-04-08,11.73,11.99,11.76
2024-04-11,12.01,12.12,12.06
2024-04-12,12.14,12.15,12.16
2024-04-15,12.01,12.0,12.03
2024-04-16,12.02,12.0,12.01
2024-04-17,12.05,12.02,12.05
2024-04-18,12.11,12.11,12.11
2024-04-19,12.06,12.08,12.07
2024-04-22,11.97,12.24,12.01
2024-04-23,12.01,12.11,12.02
2024-04-25,12.11,12.3,12.16
2024-04-26,12.13,12.25,12.11
2024-04-29,12.01,12.19,12.07
2024-05-02,11.91,12.26,12.07
2024-05-06,12.02,12.08,12.02
2024-05-07,11.92,12.25,11.96
2024-05-08,11.46,12.24,11.52
2024-05-13,11.92,12.17,12.0
2024-05-14,11.99,12.23,12.01
2024-05-15,12.06,12.32,12.04
2024-05-16,12.13,12.22,12.13
2024-05-17,12.38,12.06,12.32
2024-05-20,12.09,12.28,12.1
2024-05-21,11.99,12.09,12.01
2024-05-22,11.94,12.16,11.95
2024-05-23,12.02,12.29,12.12
