Date,Overnight_rate,Seven_day_rate,Overall_rate
2012-01-31,25.903,28.544,26.654
2012-02-29,17.005,23.188,18.91
2012-03-31,22.251,24.967,22.492
2012-04-30,20.759,22.912,21.282
2012-05-31,16.97,20.703,18.56
2012-06-30,17.536,19.65,18.35
2012-07-31,14.266,18.212,16.064
2012-08-31,11.688,16.298,13.367
2012-09-30,10.43,14.548,12.046
2012-10-31,10.645,13.583,12.168
2012-11-30,7.735,12.614,10.029
2012-12-31,7.566,12.291,9.737
2013-01-31,7.274,11.999,9.261
2013-02-28,5.241,10.29,7.024
2013-03-31,7.915,9.839,8.714
2013-04-30,8.335,10.486,8.489
2013-05-31,9.47,11.331,9.823
2013-06-30,7.403,10.93,8.876
2013-07-31,8.385,10.994,9.332
2013-08-31,7.072,10.923,7.746
2013-09-30,7.798,11.516,8.677
2013-10-31,8.44,11.782,8.942
2013-11-30,8.507,12.048,8.959
2013-12-31,7.689,11.132,8.258
2014-01-31,8.525,11.185,8.822
2014-02-28,9.338,11.266,9.49
2014-03-31,9.512,11.294,9.634
2014-04-30,9.261,11.316,9.394
2014-05-31,8.991,11.156,9.173
2014-06-30,7.559,10.848,7.956
2014-07-31,9.366,10.96,9.642
2014-08-31,9.528,11.009,9.914
2014-09-30,8.511,11.005,9.013
2014-10-31,9.285,11.029,9.708
2014-11-30,8.189,11.056,8.584
2014-12-31,9.089,10.983,9.491
2015-01-31,10.74,12.106,10.936
2015-02-28,8.892,11.598,9.278
2015-03-31,13.112,14.75,13.498
2015-04-30,10.954,12.42,11.158
2015-05-31,8.959,12.042,9.508
2015-06-30,11.267,13.446,11.916
2015-07-31,16.236,17.386,16.487
2015-08-31,11.67,17.235,13.263
2015-09-30,12.424,17.562,13.395
2015-10-31,12.165,17.276,12.927
2015-11-30,11.423,17.315,12.874
2015-12-31,12.871,18.036,14.06
2016-01-31,11.641,18.02,12.976
2016-02-29,11.111,17.511,12.464
2016-03-31,10.234,17.179,11.533
2016-04-30,11.756,16.397,12.424
2016-05-31,12.191,16.129,12.836
2016-06-30,13.714,15.678,14.162
2016-07-31,13.578,15.388,13.906
2016-08-31,12.775,14.705,13.128
2016-09-30,12.137,14.198,12.586
2016-10-31,12.476,13.856,12.691
2016-11-30,11.582,13.393,11.892
2016-12-31,10.683,12.374,11.184
2017-01-31,10.833,12.187,11.035
2017-02-28,9.876,11.732,10.172
2017-03-31,9.923,11.632,10.17
2017-04-30,10.036,11.582,10.243
2017-05-31,9.651,11.239,9.823
2017-06-30,8.885,10.814,9.368
2017-07-31,8.3,10.522,8.554
2017-08-31,8.147,10.417,8.56
2017-09-30,8.497,10.403,8.721
2017-10-31,8.518,9.936,8.788
2017-11-30,8.613,9.606,8.78
2017-12-31,8.142,9.479,8.295
2018-01-31,8.088,9.624,8.308
2018-02-28,7.892,9.491,8.029
2018-03-31,7.844,9.116,7.938
2018-04-30,7.768,9.382,7.916
2018-05-31,7.559,9.208,7.788
2018-06-30,8.46,9.31,8.641
2018-07-31,8.706,10.051,8.874
2018-08-31,7.897,9.389,8.152
2018-09-30,8.326,9.3,8.497
2018-10-31,9.136,10.302,9.2
2018-11-30,8.998,10.311,9.287
2018-12-31,9.325,10.474,9.521
2019-01-31,9.486,10.533,9.683
2019-02-28,8.368,10.258,8.684
2019-03-31,8.877,10.318,9.146
2019-04-30,8.799,10.224,8.988
2019-05-31,8.915,10.221,9.095
2019-06-30,8.861,10.159,9.142
2019-07-31,9.164,10.369,9.259
2019-08-31,9.148,10.303,9.27
2019-09-30,8.582,10.086,8.661
2019-10-31,7.987,9.562,8.15
2019-11-30,7.799,9.005,7.943
2019-12-31,7.833,9.1,7.958
2020-01-31,8.243,9.328,8.39
2020-02-29,8.014,9.087,8.249
2020-03-31,9.176,9.922,9.305
2020-04-30,7.05,8.474,7.471
2020-05-31,7.405,8.4,7.599
2020-06-30,6.552,7.61,6.738
2020-07-31,6.87,7.355,7.053
2020-08-31,6.732,7.363,6.928
2020-09-30,6.688,7.296,6.99
2020-10-31,6.536,7.35,6.857
2020-11-30,6.633,7.364,6.914
2020-12-31,6.974,7.47,7.075
2021-01-31,6.903,7.456,7.075
2021-02-28,6.941,7.394,7.054
2021-03-31,6.885,7.35,7.007
2021-04-30,7.054,7.347,7.156
2021-05-31,6.964,7.368,7.102
2021-06-30,6.625,7.146,6.954
2021-07-31,6.383,6.78,6.546
2021-08-31,6.397,6.712,6.488
2021-09-30,6.469,6.769,6.432
2021-10-31,6.805,7.187,6.807
2021-11-30,6.484,7.049,6.789
2021-12-31,6.508,6.827,6.661
2022-01-31,6.496,6.86,6.583
2022-02-28,6.396,6.786,6.592
2022-03-31,6.483,6.762,6.594
2022-04-30,6.714,6.901,6.727
2022-05-31,6.557,6.828,6.655
2022-06-30,7.971,8.239,8.086
2022-07-31,9.038,9.471,9.229
2022-08-31,9.886,10.64,10.131
2022-09-30,10.1,10.716,10.317
2022-10-31,10.615,11.895,10.964
2022-11-30,10.398,11.802,10.927
2022-12-31,10.925,11.474,11.132
2023-01-31,11.752,12.018,11.853
2023-02-28,11.982,12.049,11.997
2023-03-31,11.818,11.907,11.829
2023-04-30,10.937,11.762,11.105
2023-05-31,10.278,10.953,10.464
2023-06-30,9.976,10.711,10.197
2023-07-31,10.163,10.512,10.263
2023-08-31,10.355,10.45,10.4
2023-09-30,10.067,10.292,10.128
2023-10-31,10.655,10.701,10.668
2023-11-30,10.379,10.827,10.478
2023-12-31,10.13,10.581,10.237
2024-01-31,10.408,10.808,10.493
2024-02-29,10.709,11.101,10.783
2024-03-31,11.517,11.668,11.545
2024-04-30,11.981,12.08,12.005
2024-05-31,11.876,12.156,11.924
2024-06-30,9.807,10.758,10.106
